e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
266,Em Lim,Jasmin Schuster,BMSC23,Aguilar Point,48.83758,-125.14414,18/04/2025,3,NE,9:33,EGL,6.5,2,2,das,Diodora aspera,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Em Lim,Jasmin Schuster,BMSC23,Aguilar Point,48.83758,-125.14414,18/04/2025,3,NE,9:33,EGL,6.5,0,0,rri,Rhamphocottus richardsonii,Grunt sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Em Lim,Jasmin Schuster,BMSC23,Aguilar Point,48.83758,-125.14414,18/04/2025,3,NE,9:33,EGL,6.5,0,0,sca,Sebastes caurinus,Copper rockfish,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
269,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,8,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
270,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,1,2,hde,Hexagrammos decagrammus,Kelp greenling,5,0,,,,,,1,2,,,2,,,,,,,,,,,,,,,,,,
271,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,pgi,Pomaulax gibberosus,Red turban shell,169,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,acal,Apostichopus californicus,Californian sea cucumber,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,hka,Haliotis kamtschatkana,Pinto abalone,23,0,2,17,4,,,,,,,,,,,,,,,,,,,,,,,,,
274,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,dim,Dermasterias imbricata,Leather star,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,450,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,phe,Pagurus hemphilli,Maroon hermit,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,51,0,30,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,
279,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,oko,Orthasterias koehleri,Rainbow star,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,17,0,,5,7,2,1,2,,,,,,,,,,,,,,,,,,,,,,
281,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,pachycheles,Pachycheles spp.,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,pno,Peltodoris nobilis,Noble sea lemon,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,ami,Acmaea mitra,Whitecap limpet,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,hermit,Paguroidea spp.,Unidentified hermit crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,sac,Scyra acutifrons,Sharpnose crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,lco,Limacia cockerelli,Cockerell's dorid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,pmi,Patiria miniata,Bat star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,aoc,Anarrhichthys ocellatus,Wolf-eel,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
294,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,dir,Dendronotus iris,Giant frond-aeolis,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,2,2,henricia,Henricia spp.,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,0,0,sca,Sebastes caurinus,Copper rockfish,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
297,Em Lim,Hannah Schriber,BMSC11,Wizard Island South,48.85747,-125.15823,18/04/2025,2.5,SW,12:00,EGL,5.8,0,0,def,Debris - Fishing,Any fishing debris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,1,1,aha,Artedius harringtoni,Scalyhead sculpin,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,3,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,mfr,Mesocentrotus franciscanus,Red sea urchin,535,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,19,0,1,16,2,,,,,,,,,,,,,,,,,,,,,,,,,
302,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,acal,Apostichopus californicus,Californian sea cucumber,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,pgi,Pomaulax gibberosus,Red turban shell,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,oko,Orthasterias koehleri,Rainbow star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,aha,Artedius harringtoni,Scalyhead sculpin,7,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,dim,Dermasterias imbricata,Leather star,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,henricia,Henricia spp.,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
311,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,ahu,Acanthodoris hudsoni,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,sac,Scyra acutifrons,Sharpnose crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,afu,Antiopella fusca,White-and-orange-tipped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,sdr,Strongylocentrotus droebachiensis,Northern sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,ami,Acmaea mitra,Whitecap limpet,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,10,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,pmi,Patiria miniata,Bat star,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,phe,Pagurus hemphilli,Maroon hermit,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,pachycheles,Pachycheles spp.,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,jzo,Jordania zonope,Longfin sculpin,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,das,Diodora aspera,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,spur,Strongylocentrotus purpuratus,Purple sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,2,1,sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Em Lim,Carter Burtlake,BMSC12,Wizard Island North,48.85828,-125.16092,18/04/2025,1.5,N,14:20,EGL,5.5,0,1,phel,Pycnopodia helianthoides,Sunflower star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
328,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,1,2,pvi,Phoca vitulina,harbour seal,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
329,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
330,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
331,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,246,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,phe,Pagurus hemphilli,Maroon hermit,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,ami,Acmaea mitra,Whitecap limpet,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,7,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,henricia,Henricia spp.,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,dim,Dermasterias imbricata,Leather star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,pachycheles,Pachycheles spp.,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,pmi,Patiria miniata,Bat star,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,oko,Orthasterias koehleri,Rainbow star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,2,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
348,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
350,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,pri,Pugettia richii,Cryptic kelp crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,19,0,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,das,Diodora aspera,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Em Lim,Carter Burtlake,BMSC2,Kirby,48.85039,-125.19876,21/04/2025,4,SE,9:45,CBl,5.5,2,2,afu,Antiopella fusca,White-and-orange-tipped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
356,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,30,0,7,19,4,,,,,,,,,,,,,,,,,,,,,,,,,
358,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,pmi,Patiria miniata,Bat star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,8,0,,,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,
365,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,phe,Pagurus hemphilli,Maroon hermit,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,ami,Acmaea mitra,Whitecap limpet,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,dim,Dermasterias imbricata,Leather star,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,das,Diodora aspera,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,4,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,2,2,henricia,Henricia spp.,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,0,0,dsa,Diaulula sandiegensis,Ringed doris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,0,0,jzo,Jordania zonope,Longfin sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
376,Em Lim,Carter Burtlake,BMSC3,Ohiat,48.85558,-125.18379,21/04/2025,4,W,12:05,CBl,6.5,0,0,oel,Ophiodon elongatus,Lingcod,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
