e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
476,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,223,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,9,0,,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,292,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,pmi,Patiria miniata,Bat star,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,23,0,,3,7,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,ami,Acmaea mitra,Whitecap limpet,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,21,0,3,5,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,das,Diodora aspera,Rough keyhole limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,poc,Pisaster ochraceus,Purple sea star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,phe,Pagurus hemphilli,Maroon hermit,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,etr,Evasterias troschelii,Mottled starfish,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,pachycheles,Pachycheles spp.,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,2,2,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Claire Attridge,Tom Bird,BMSC17,Wouwer Channel,48.86548,-125.36148,21/04/2026,3,NE,12:28,TB,4.5,0,2,sebastes,Sebastes spp.,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,pgi,Pomaulax gibberosus,Red turban shell,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,14,0,1,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,71,0,28,28,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,23,0,,5,5,2,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,henricia,Henricia spp.,Unidentified blood star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,acal,Apostichopus californicus,Californian sea cucumber,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,dim,Dermasterias imbricata,Leather star,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,sfo,Stylasterias forreri,Velcro seastar,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,mfr,Mesocentrotus franciscanus,Red sea urchin,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,oko,Orthasterias koehleri,Rainbow star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,pmi,Patiria miniata,Bat star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,ami,Acmaea mitra,Whitecap limpet,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,phe,Pagurus hemphilli,Maroon hermit,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,aha,Artedius harringtoni,Scalyhead sculpin,6,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,pachycheles,Pachycheles spp.,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,clon,Coryphella longicaudata,Red-fingered Coryphella,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,pbe,Pagurus beringanus,Hermit crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,pda,Pandalus danae,Dock shrimp,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Claire Attridge,Alec Jones,BMSC27,San Jose North Island,48.90118,-125.06043,22/04/2026,1.5,NW,10:10,CMA,7.5,2,1,oko,Orthasterias koehleri,Rainbow star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,1,2,nsf,No species found,No species found,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,0,0,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,phe,Pagurus hemphilli,Maroon hermit,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,clu,Cadlina luteomarginata,Yellow-edge cadlina,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,pgi,Pomaulax gibberosus,Red turban shell,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,pte,Pteraster tesselatus,Slime star,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,dim,Dermasterias imbricata,Leather star,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,oko,Orthasterias koehleri,Rainbow star,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,mae,Mediaster aequalis,Vermillion sea star,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,0,0,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,cpap,Crossaster papposus,Rose seastar,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,etr,Evasterias troschelii,Mottled starfish,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,dod,Doris odhneri,White night doris,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,ptr,Polycera tricolor,Tricolour nudibranch,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,acal,Apostichopus californicus,Californian sea cucumber,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,cha,Chlamys hastata,Spear scallop,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,clon,Coryphella longicaudata,Red-fingered Coryphella,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,henricia,Henricia spp.,Unidentified blood star,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,ami,Acmaea mitra,Whitecap limpet,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,cmo,Cadlina modesta,Modest cadlina nudibranch,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,lco,Limacia cockerelli,Cockerell's dorid,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Claire Attridge,Jasmin Schuster,BMSC26,Hosie South,48.9071,-125.03701,22/04/2026,1,SW,12:32,CMA,9.8,0,2,sca,Sebastes caurinus,Copper rockfish,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,0,0,,,,,,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,1,2,sca,Sebastes caurinus,Copper rockfish,4,0,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,248,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,pmi,Patiria miniata,Bat star,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,ami,Acmaea mitra,Whitecap limpet,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,phe,Pagurus hemphilli,Maroon hermit,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,henricia,Henricia spp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,dim,Dermasterias imbricata,Leather star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,pbe,Pagurus beringanus,Hermit crab,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,cpr,Cancer productus,Red rock crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,poc,Pisaster ochraceus,Purple sea star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,oko,Orthasterias koehleri,Rainbow star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,ctr,Coryphella trilineata,Three-lined aeolid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,das,Diodora aspera,Rough keyhole limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,0,2,opi,Oxylebius pictus,Painted greenling,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Claire Attridge,Jasmin Schuster,BMSC20,Ed King East,48.83567,-125.2148,23/04/2026,3,NW,9:50,CMA,8.5,0,2,oel,Ophiodon elongatus,Lingcod,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Claire Attridge,Jasmin Schuster,BMSC19,Ed King SW Pyramid,48.8286,-125.2213,23/04/2026,2,W,13:10,CMA,7.5,1,1,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Claire Attridge,Jasmin Schuster,BMSC19,Ed King SW Pyramid,48.8286,-125.2213,23/04/2026,2,W,13:10,CMA,7.5,1,1,sme,Sebastes melanops,Black rockfish,2,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Claire Attridge,Jasmin Schuster,BMSC19,Ed King SW Pyramid,48.8286,-125.2213,23/04/2026,2,W,13:10,CMA,7.5,2,1,owr,Opalia wroblewskyi,Wroblewski's Wentletrap,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
